[2026-06-13 07:42:36] INFO     ==================================================
[2026-06-13 07:42:36] INFO     Liar's Deck Server started on 0.0.0.0:12345
[2026-06-13 07:42:36] INFO     ==================================================
[2026-06-13 07:54:18] INFO     ACCEPT   addr=127.0.0.1:58707
[2026-06-13 07:54:18] INFO     CONNECT  player=c7b38cc9351d user=rafi addr=127.0.0.1:58707
[2026-06-13 07:54:18] INFO     LOBBY    player=c7b38cc9351d joined queue
[2026-06-13 07:54:35] INFO     ACCEPT   addr=127.0.0.1:58709
[2026-06-13 07:54:35] INFO     CONNECT  player=b84ff0428c5d user=p addr=127.0.0.1:58709
[2026-06-13 07:54:35] INFO     LOBBY    player=b84ff0428c5d joined queue
[2026-06-13 07:54:45] INFO     MATCH    room=abc6070170c2 players=['c7b38cc9351d', 'b84ff0428c5d'] (2 players)
[2026-06-13 07:55:02] INFO     PLAY     room=abc6070170c2 player=b84ff0428c5d cards=['ACE'] claimed=ACE
[2026-06-13 07:55:05] INFO     LIAR     room=abc6070170c2 caller=c7b38cc9351d target=b84ff0428c5d
[2026-06-13 07:55:05] INFO     REVEAL   room=abc6070170c2 player=b84ff0428c5d cards=['ACE'] lying=False
[2026-06-13 07:55:08] INFO     ROULET   room=abc6070170c2 player=c7b38cc9351d result=DEAD pull=1
[2026-06-13 07:55:08] INFO     GAMEOVER room=abc6070170c2 winner=b84ff0428c5d loser=c7b38cc9351d
[2026-06-13 07:55:32] INFO     DISCONN  player=c7b38cc9351d reason=connection_lost
[2026-06-13 07:55:35] INFO     DISCONN  player=b84ff0428c5d reason=connection_lost
[2026-06-13 07:59:36] INFO     ACCEPT   addr=127.0.0.1:59195
[2026-06-13 07:59:36] INFO     CONNECT  player=5ca6da258259 user=bagus addr=127.0.0.1:59195
[2026-06-13 07:59:36] INFO     LOBBY    player=5ca6da258259 joined queue
[2026-06-13 07:59:39] INFO     ACCEPT   addr=127.0.0.1:59196
[2026-06-13 07:59:39] INFO     CONNECT  player=7c15594440a8 user=rapi addr=127.0.0.1:59196
[2026-06-13 07:59:39] INFO     LOBBY    player=7c15594440a8 joined queue
[2026-06-13 07:59:50] INFO     MATCH    room=de6d0eb4c3ce players=['5ca6da258259', '7c15594440a8'] (2 players)
[2026-06-13 07:59:58] INFO     PLAY     room=de6d0eb4c3ce player=5ca6da258259 cards=['KING'] claimed=KING
[2026-06-13 08:00:12] INFO     LIAR     room=de6d0eb4c3ce caller=7c15594440a8 target=5ca6da258259
[2026-06-13 08:00:12] INFO     REVEAL   room=de6d0eb4c3ce player=5ca6da258259 cards=['KING'] lying=False
[2026-06-13 08:00:21] INFO     ROULET   room=de6d0eb4c3ce player=7c15594440a8 result=SURVIVED pull=1
[2026-06-13 08:01:49] INFO     PLAY     room=de6d0eb4c3ce player=7c15594440a8 cards=['QUEEN'] claimed=QUEEN
[2026-06-13 08:01:53] INFO     LIAR     room=de6d0eb4c3ce caller=5ca6da258259 target=7c15594440a8
[2026-06-13 08:01:53] INFO     REVEAL   room=de6d0eb4c3ce player=7c15594440a8 cards=['QUEEN'] lying=False
[2026-06-13 08:01:54] INFO     ROULET   room=de6d0eb4c3ce player=5ca6da258259 result=SURVIVED pull=1
[2026-06-13 08:02:03] INFO     PLAY     room=de6d0eb4c3ce player=5ca6da258259 cards=['JOKER', 'QUEEN', 'ACE'] claimed=QUEEN
[2026-06-13 08:18:09] INFO     DISCONN  player=7c15594440a8 reason=connection_lost
[2026-06-13 08:18:11] INFO     DISCONN  player=5ca6da258259 reason=connection_lost
[2026-06-13 08:18:52] INFO     ACCEPT   addr=127.0.0.1:62916
[2026-06-13 08:18:52] INFO     CONNECT  player=c9ba46e0c3cd user=hvvh addr=127.0.0.1:62916
[2026-06-13 08:18:52] INFO     LOBBY    player=c9ba46e0c3cd joined queue
[2026-06-13 08:19:00] INFO     ACCEPT   addr=127.0.0.1:62917
[2026-06-13 08:19:00] INFO     CONNECT  player=ed50ba177662 user=yfjyti addr=127.0.0.1:62917
[2026-06-13 08:19:00] INFO     LOBBY    player=ed50ba177662 joined queue
[2026-06-13 08:19:09] INFO     GAMEOVER room=de6d0eb4c3ce winner=5ca6da258259 loser=7c15594440a8
[2026-06-13 08:19:10] INFO     MATCH    room=28e383a123f2 players=['c9ba46e0c3cd', 'ed50ba177662'] (2 players)
[2026-06-13 08:19:38] INFO     PLAY     room=28e383a123f2 player=ed50ba177662 cards=['QUEEN', 'KING'] claimed=ACE
[2026-06-13 08:20:00] INFO     LIAR     room=28e383a123f2 caller=c9ba46e0c3cd target=ed50ba177662
[2026-06-13 08:20:00] INFO     REVEAL   room=28e383a123f2 player=ed50ba177662 cards=['QUEEN', 'KING'] lying=True
[2026-06-13 08:20:33] INFO     ROULET   room=28e383a123f2 player=ed50ba177662 result=SURVIVED pull=1
[2026-06-13 08:24:08] INFO     PLAY     room=28e383a123f2 player=ed50ba177662 cards=['QUEEN'] claimed=KING
[2026-06-13 08:24:29] INFO     DISCONN  player=ed50ba177662 reason=connection_lost
[2026-06-13 08:24:31] INFO     DISCONN  player=c9ba46e0c3cd reason=connection_lost
[2026-06-13 08:25:29] INFO     GAMEOVER room=28e383a123f2 winner=c9ba46e0c3cd loser=ed50ba177662
[2026-06-13 08:39:59] INFO     ACCEPT   addr=127.0.0.1:62951
[2026-06-13 08:39:59] INFO     CONNECT  player=201009851ae0 user=s addr=127.0.0.1:62951
[2026-06-13 08:39:59] INFO     LOBBY    player=201009851ae0 joined queue
[2026-06-13 08:40:06] INFO     ACCEPT   addr=127.0.0.1:62952
[2026-06-13 08:40:06] INFO     CONNECT  player=8160b4379196 user=dvsqwfef addr=127.0.0.1:62952
[2026-06-13 08:40:06] INFO     LOBBY    player=8160b4379196 joined queue
[2026-06-13 08:40:17] INFO     MATCH    room=a4c357275bd0 players=['201009851ae0', '8160b4379196'] (2 players)
[2026-06-13 08:40:23] INFO     PLAY     room=a4c357275bd0 player=8160b4379196 cards=['QUEEN', 'JOKER'] claimed=QUEEN
[2026-06-13 08:41:03] INFO     DISCONN  player=8160b4379196 reason=connection_lost
[2026-06-13 08:41:06] INFO     DISCONN  player=201009851ae0 reason=connection_lost
[2026-06-13 08:42:03] INFO     GAMEOVER room=a4c357275bd0 winner=201009851ae0 loser=8160b4379196
[2026-06-13 08:46:12] INFO     ACCEPT   addr=127.0.0.1:56778
[2026-06-13 08:46:12] INFO     CONNECT  player=c011196b4a85 user=hj addr=127.0.0.1:56778
[2026-06-13 08:46:12] INFO     LOBBY    player=c011196b4a85 joined queue
[2026-06-13 08:46:15] INFO     ACCEPT   addr=127.0.0.1:56779
[2026-06-13 08:46:15] INFO     CONNECT  player=8818d52e79de user=ss addr=127.0.0.1:56779
[2026-06-13 08:46:15] INFO     LOBBY    player=8818d52e79de joined queue
[2026-06-13 08:46:25] INFO     MATCH    room=d8b881335a64 players=['c011196b4a85', '8818d52e79de'] (2 players)
[2026-06-13 08:46:33] INFO     PLAY     room=d8b881335a64 player=c011196b4a85 cards=['KING', 'KING'] claimed=QUEEN
[2026-06-13 08:46:47] INFO     LIAR     room=d8b881335a64 caller=8818d52e79de target=c011196b4a85
[2026-06-13 08:46:47] INFO     REVEAL   room=d8b881335a64 player=c011196b4a85 cards=['KING', 'KING'] lying=True
[2026-06-13 08:46:51] INFO     ROULET   room=d8b881335a64 player=c011196b4a85 result=SURVIVED pull=1
[2026-06-13 08:46:54] INFO     PLAY     room=d8b881335a64 player=c011196b4a85 cards=['KING'] claimed=QUEEN
[2026-06-13 08:46:57] INFO     LIAR     room=d8b881335a64 caller=8818d52e79de target=c011196b4a85
[2026-06-13 08:46:57] INFO     REVEAL   room=d8b881335a64 player=c011196b4a85 cards=['KING'] lying=True
[2026-06-13 08:46:59] INFO     ROULET   room=d8b881335a64 player=c011196b4a85 result=SURVIVED pull=2
[2026-06-13 08:47:02] INFO     PLAY     room=d8b881335a64 player=c011196b4a85 cards=['QUEEN', 'KING'] claimed=KING
[2026-06-13 08:47:03] INFO     LIAR     room=d8b881335a64 caller=8818d52e79de target=c011196b4a85
[2026-06-13 08:47:03] INFO     REVEAL   room=d8b881335a64 player=c011196b4a85 cards=['QUEEN', 'KING'] lying=True
